codigo,sigla,nome
0010588,POL TAG,POLICLINICA DE TAGUATINGA
9621709,POL TAG,POLICLINICA DE TAGUATINGA UNIDADE II
5598575,POL GAM,POLICLINICA DO GAMA
9620311,POL GUA,POLICLINICA GUARA I
9578277,POL LSU,POLICLINICA LAGO SUL
9548858,POL NBA,POLICLINICA NUCLEO BANDEIRANTE
9548866,POL RF1,POLICLINICA RIACHO FUNDO I UNIDADE I
9620338,POL RF1,POLICLINICA RIACHO FUNDO I UNIDADE II
3025020,PSFRAT,PRONTO SOCORRO DE FRATURAS
2340461,PSF ALTO,PSF ALTO DAS CARAIBAS
2340488,PSF PARQUE,PSF PARQUE ALVORADA
0011525,PSR 2 FER,PSR 2 CORREGO DO OURO FERCAL
0011533,PSR QUEIMA,PSR QUEIMA LENCOL
6963447,SES-DF,SECRETARIA DE SAUDE DO DISTRITO FEDERAL
6361781,SMSGN,SECRETARIA MUNICIPAL DE SAUDE DE GAUCHA DO NORTE MT
6718337,SMSM,SECRETARIA MUNICIPAL DE SAUDE DE MARCELANDIA
2152940,UAI PAMPULHA,UAI PAMPULHA UNIDADE DE ATENDIMENTO INTEGRADO IRMA DULCE
7108923,UBS 01 ACL,UBS 01 AGUAS CLARAS
0011150,UBS 01 AS,UBS 01 ASA SUL
0010693,UBS 01 AS,UBS 01 ASA SUL
0011185,UBS 01 CAN,UBS 01 CANDANGOLANDIA
3027651,UBS 01 SIA,UBS 01 CPP SIA
0263680,UBS 01 DCCP,UBS 01 DCCP
2779374,UBS 01 EST,UBS 01 ESTRUTURAL
0011118,UBS 01 GUA,UBS 01 GUARA
0010812,UBS 01 LSU,UBS 01 LAGO SUL
0011126,UBS 01 NBA,UBS 01 NUCLEO BANDEIRANTE
0011681,UBS 01 PKW,UBS 01 PARK WAY
0010804,UBS 01 RDE,UBS 01 RECANTO DAS EMAS
0011169,UBS 01 RF1,UBS 01 RIACHO FUNDO I
5038669,UBS 01 RF2,UBS 01 RIACHO FUNDO II
0010642,UBS 01 SAM,UBS 01 SAMAMBAIA
0010901,UBS 01 TAG,UBS 01 TAGUATINGA
9056963,UBS 01 VPI,UBS 01 VICENTE PIRES
3742822,UBS 02 ACL,UBS 02 AGUAS CLARAS
3513564,UBS 02 EST,UBS 02 ESTRUTURAL
0011266,UBS 02 GUA,UBS 02 GUARA
7236778,UBS 02 NBA,UBS 02 NUCLEO BANDEIRANTE
0011134,UBS 02 RDE,UBS 02 RECANTO DAS EMAS
3781437,UBS 02 RF1,UBS 02 RIACHO FUNDO I
3410196,UBS 02 RF2,UBS 02 RIACHO FUNDO II
0010774,UBS 02 SAM,UBS 02 SAMAMBAIA
0010928,UBS 02 TAG,UBS 02 TAGUATINGA
0011274,UBS 03 GUA,UBS 03 GUARA
4986725,UBS 03 JBO,UBS 03 JARDIM BOTANICO
7170939,UBS 03 RDE,UBS 03 RECANTO DAS EMAS
2660199,UBS 03 RF2,UBS 03 RIACHO FUNDO II
0010677,UBS 03 SAM,UBS 03 SAMAMBAIA
0010936,UBS 03 TAG,UBS 03 TAGUATINGA
4986792,UBS 04 ITA,UBS 04 ITAPOA
0011657,UBS 04 GUA,UBS 04 LUCIO COSTA GUARA
7417632,UBS 04 RDE,UBS 04 RECANTO DAS EMAS
2673924,UBS 04 RF2,UBS 04 RIACHO FUNDO II CAUB I
0010685,UBS 04 SAM,UBS 04 SAMAMBAIA
0010944,UBS 04 TAG,UBS 04 TAGUATINGA
9263632,UBS 05 GUA,UBS 05 GUARA
7059892,UBS 05 RDE,UBS 05 RECANTO DAS EMAS
7526504,UBS 05 RF2,UBS 05 RIACHO FUNDO II
6921736,UBS 05 SAM,UBS 05 SAMAMBAIA
0010626,UBS 05 TAG,UBS 05 TAGUATINGA
7059965,UBS 06 RDE,UBS 06 RECANTO DAS EMAS
7053754,UBS 06 SAM,UBS 06 SAMAMBAIA
0010952,UBS 06 TAG,UBS 06 TAGUATINGA
2779331,UBS 07 RDE,UBS 07 RECANTO DAS EMAS CASA GRANDE
7299877,UBS 07 SAM,UBS 07 SAMAMBAIA
0010960,UBS 07 TAG,UBS 07 TAGUATINGA
2804247,UBS 08 RDE,UBS 08 RECANTO DAS EMAS SAO FRANCISCO
7114397,UBS 08 SAM,UBS 08 SAMAMBAIA
2617269,UBS 08 TAG,UBS 08 TAGUATINGA
7059957,UBS 09 RDE,UBS 09 RECANTO DAS EMAS
3742857,UBS 09 SAM,UBS 09 SAMAMBAIA
0010707,UBS 1 AN,UBS 1 ASA NORTE CSB11
0011215,UBS 1 BRA,UBS 1 BRAZLANDIA
0010731,UBS 1 CRU,UBS 1 CRUZEIRO
2804360,UBS 1 FER,UBS 1 ENGENHO VELHO FERCAL
7347715,UBS 1 CEI,UBS 1 ESF SOL NASCENTE TRECHO II CEILANDIA
0010820,UBS 1 GAM,UBS 1 GAMA
6268269,UBS 1 ITA,UBS 1 ITAPOA
0736260,UBS 1 JMA,UBS 1 JARDINS MANGUEIRAL
0011177,UBS 1 LNO,UBS 1 LAGO NORTE
4431618,UBS 1 LSU,UBS 1 LAGO SUL
0010634,UBS 1 PAR,UBS 1 PARANOA
5167817,UBS 1 PLA,UBS 1 PLANALTINA
0010782,UBS 1 SMA,UBS 1 SANTA MARIA
0010790,UBS 1 SSB,UBS 1 SAO SEBASTIAO
0011223,UBS 1 SOB,UBS 1 SOBRADINHO
0011258,UBS 1 SB2,UBS 1 SOBRADINHO II
2617358,UBS 1 VAR,UBS 1 VARJAO
0011207,UBS 10 CEI,UBS 10 CEILANDIA
3286932,UBS 10 SSB,UBS 10 JOAO CANDIDO SAO SEBASTIAO
3144623,UBS 10 RDE,UBS 10 RECANTO DAS EMAS
2673894,UBS 10 SMA,UBS 10 SANTA MARIA
2804174,UBS 10 PLA,UBS 10 TAQUARA PLANALTINA
0011061,UBS 11 CEI,UBS 11 CEILANDIA
3144577,UBS 11 GAM,UBS 11 PONTE ALTA NORTE GAMA
0011576,UBS 11 PLA,UBS 11 RAJADINHA PLANALTINA
9543945,UBS 11 RDE,UBS 11 RECANTO DAS EMAS
3212025,UBS 11 SSB,UBS 11 RESIDENCIAL DO BOSQUE 2 SAO SEBASTIAO
7771479,UBS 11 SAM,UBS 11 SAMAMBAIA
8192650,UBS 11 SMA,UBS 11 SANTA MARIA
2804123,UBS 12 PLA,UBS 12 BICA DO DER PLANALTINA
2617293,UBS 12 CEI,UBS 12 CEILANDIA
3144615,UBS 12 GAM,UBS 12 PONTE ALTA GAMA
9480587,UBS 12 SAM,UBS 12 SAMAMBAIA
7423489,UBS 12 SSB,UBS 12 SAO JOSE SAO SEBASTIAO
3144542,UBS 13 CEI,UBS 13 BOA ESPERANCA CEILANDIA
7360592,UBS 13 GAM,UBS 13 GAMA
9647597,UBS 13 SAM,UBS 13 SAMAMBAIA
0011622,UBS 13 PLA,UBS 13 SAO JOSE PLANALTINA
3212076,UBS 13 SSB,UBS 13 VILA NOVA SAO SEBASTIAO
3028003,UBS 14 SSB,UBS 14 CDP SAO SEBASTIAO
3677044,UBS 14 CEI,UBS 14 CONDOMINIO PRIVE CEILANDIA
0011584,UBS 14 PLA,UBS 14 TABATINGA PLANALTINA
7347723,UBS 15 CEI,UBS 15 CEILANDIA
3028011,UBS 15 SSB,UBS 15 CIR SAO SEBASTIAO
3027635,UBS 15 GAM,UBS 15 PFDF GAMA
2672227,UBS 15 PLA,UBS 15 RIO PRETO PLANALTINA
7843135,UBS 16 GAM,UBS 16 ATP GAMA
9475931,UBS 16 CEI,UBS 16 CEILANDIA
7566530,UBS 16 SSB,UBS 16 PDF I SAO SEBASTIAO
0011592,UBS 16 PLA,UBS 16 PIPIRIPAU PLANALTINA
9509356,UBS 17 CEI,UBS 17 CEILANDIA
3144666,UBS 17 PLA,UBS 17 JARDIM MORUMBI PLANALTINA
3027643,UBS 17 SSB,UBS 17 PDF II SAO SEBASTIAO
9643338,UBS 18 CAIC,UBS 18 CAIC BERNARDO SAYAO
9566961,UBS 18 PLA,UBS 18 PLANALTINA
9566988,UBS 19 PLA,UBS 19 PLANALTINA
3254909,UBS 19 SSB,UBS 19 VILA DO BOA SAO SEBASTIAO
4986768,UBS 19 VISTA BELA,UBS 19 VISTA BELA
0010723,UBS 2 AN,UBS 2 ASA NORTE
